sigla_uf,ano,pib,regiao
RJ,2016,640401206,SUDESTE
SP,2016,2038757382,SUDESTE
PR,2016,401814164,SUL
SC,2016,256754669,SUL
RS,2016,408789528,SUL
MS,2016,91892285,CENTRO OESTE
MT,2016,123880296,CENTRO OESTE
GO,2016,181759604,CENTRO OESTE
DF,2016,235540045,NORDESTE
RO,2017,43516147,NORTE
AC,2017,14272941,NORTE
AM,2017,93240191,NORTE
RR,2017,12104709,NORTE
PA,2017,155232404,NORTE
AP,2017,15481908,NORTE
TO,2017,34108132,NORTE
MA,2017,89542757,NORDESTE
PI,2017,45365541,NORDESTE
CE,2017,147921534,NORDESTE
RN,2017,64305995,NORDESTE
PB,2017,62396776,NORDESTE
PE,2017,181609501,NORDESTE
AL,2017,52851067,NORDESTE
SE,2017,40711486,NORDESTE
BA,2017,268724090,NORDESTE
MG,2017,576375545,SUDESTE
ES,2017,113399937,SUDESTE
RJ,2017,671605668,SUDESTE
SP,2017,2120761635,SUDESTE
PR,2017,421497870,SUL
SC,2017,277270237,SUL
RS,2017,423270047,SUL
MS,2017,96396434,CENTRO OESTE
MT,2017,126845898,CENTRO OESTE
GO,2017,191948301,CENTRO OESTE
DF,2017,244722249,NORDESTE
RO,2018,44913978,NORTE
AC,2018,15331123,NORTE
AM,2018,100109235,NORTE
RR,2018,13369988,NORTE
PA,2018,161349602,NORTE
AP,2018,16795207,NORTE
TO,2018,35666183,NORTE
MA,2018,98179496,NORDESTE
PI,2018,50378418,NORDESTE
CE,2018,155903825,NORDESTE
RN,2018,66969562,NORDESTE
PB,2018,64373595,NORDESTE
PE,2018,186351975,NORDESTE
AL,2018,54413047,NORDESTE
SE,2018,42017981,NORDESTE
BA,2018,286239541,NORDESTE
MG,2018,614875820,SUDESTE
ES,2018,137020055,SUDESTE
RJ,2018,758859047,SUDESTE
SP,2018,2210561949,SUDESTE
PR,2018,440029403,SUL
SC,2018,298227090,SUL
RS,2018,457293958,SUL
MS,2018,106969142,CENTRO OESTE
MT,2018,137442853,CENTRO OESTE
GO,2018,195681724,CENTRO OESTE
DF,2018,254817205,NORDESTE
RO,2019,47091336,NORTE
AC,2019,15630017,NORTE
AM,2019,108181091,NORTE
RR,2019,14292227,NORTE
PA,2019,178376984,NORTE
AP,2019,17496661,NORTE
TO,2019,39355941,NORTE
MA,2019,97339938,NORDESTE
PI,2019,52780785,NORDESTE
CE,2019,163575327,NORDESTE
RN,2019,71336780,NORDESTE
