Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
31-2008;2.337;124.43199999999999;1.6340083333333333
31-2009;2.463;68.6;1.9487750000000001
31-2010;2.517;82.694;1.8127
31-2011;2.632;112.654;1.6087699999999998
31-2012;2.647;107.274;1.8998599999999999
31-2013;2.7910000000000004;108.606;2.108507142857143
31-2014;2.919;105.708;2.26911
31-2015;3.219;54.136;3.252641666666667
31-2016;3.562;40.884;3.677891666666666
31-2017;3.747;52.04200000000001;3.1735700000000002
31-2018;4.253;73.372;3.466241666666667
31-2019;4.091;62.586;3.7920000000000003
31-2020;4.032;43.224000000000004;4.989433333333333
32-2004;2.16;42.008;2.97925
32-2006;2.449;76.978;2.1565250000000002
32-2007;2.4530000000000003;70.69800000000001;1.8559625
32-2008;2.346;116.56199999999998;1.7780083333333332
32-2009;2.466;73.986;2.0205399999999996
32-2010;2.527;78.20599999999999;1.7109100000000002
32-2011;2.632;105.304;1.7025375
32-2012;2.642;112.494;2.0318125
32-2013;2.786;108.556;2.2151699999999996
32-2014;2.934;103.6;2.2645166666666667
32-2015;3.229;48.589999999999996;3.2493600000000002
32-2016;3.5860000000000003;43.629999999999995;3.2376875
32-2017;3.732;51.964;3.1907875
32-2018;4.238;71.416;3.7600375
32-2019;4.098;57.327999999999996;3.9875
32-2020;4.029;44.356;5.313840000000001
33-2004;2.162;43.158;2.8701499999999998
33-2006;2.421;72.348;2.14623
33-2007;2.454;70.092;2.01208
33-2008;2.353;110.16400000000002;1.8331
33-2010;2.516;74.944;1.7563
33-2011;2.643;109.53600000000002;1.59516
33-2012;2.635;115.042;2.02223
33-2013;2.7880000000000003;110.726;2.32945
33-2014;2.937;101.94;2.3545
33-2016;3.565;48.602;3.20477
33-2017;3.761;50.582;3.17259
33-2018;4.249;69.824;3.89983
33-2019;4.087;58.251999999999995;3.9985375
33-2020;4.047;44.538;5.3762
34-2004;2.16;44.564;2.9933500000000004
34-2005;2.235;65.678;2.41403
34-2006;2.472;71.91600000000001;2.14308
34-2007;2.456;68.44;2.00805
34-2008;2.438;111.66;1.6254300000000002
34-2010;2.528;72.818;1.76362
34-2011;2.664;111.05799999999999;1.6043600000000002
34-2012;2.638;116.102;2.0199599999999998
34-2013;2.784;111.12;2.41104
34-2014;2.939;99.88;2.26107
34-2015;3.2030000000000003;45.998000000000005;3.48354
34-2016;3.607;48.654;3.22441
34-2017;3.761;52.028;3.15332
34-2018;4.294;72.772;4.03909
34-2019;4.083;59.574;4.05148
35-2004;2.146;42.227999999999994;2.9583
35-2005;2.233;66.09200000000001;2.4964500000000003
35-2006;2.468;68.35;2.1669714285714283
35-2007;2.45;70.548;2.015685714285714
35-2008;2.435;112.404;1.62911
35-2009;2.436;72.332;1.85824
35-2010;2.526;75.41;1.78682
35-2011;2.675;116.105;1.61952
35-2012;2.636;113.02000000000001;1.9677642857142856
35-2013;2.776;115.31800000000001;2.3149
35-2014;2.937;100.644;2.26005
35-2015;3.222;43.528;3.5740000000000003
35-2016;3.626;47.309999999999995;3.46959
35-2017;3.819;52.251999999999995;3.1654714285714287
35-2018;4.328;76.076;3.875442857142857
35-2019;4.068;59.826;4.0736083333333335
36-2004;2.136;41.0;2.9149000000000003
36-2005;2.428;63.239999999999995;2.34882
36-2006;2.461;65.758;2.1661124999999997
36-2007;2.451;75.0575;1.9912100000000001
36-2008;2.441;103.685;1.67808
36-2009;2.479;67.604;2.15395
36-2010;2.528;77.1675;1.746825
36-2011;2.69;115.97;1.65091
36-2012;2.634;114.11;1.9215700000000002
36-2013;2.77;116.025;2.131825
36-2014;2.926;100.4525;2.25249
36-2015;3.218;48.8675;3.0521333333333334
36-2016;3.624;47.506;3.3146299999999997
36-2017;3.816;53.884;3.1954000000000002
36-2018;4.482;76.644;3.57988
36-2019;4.072;60.227999999999994;3.8874625
37-2004;2.131;40.596;2.9490416666666666
37-2005;2.417;61.215999999999994;2.3000800000000003
37-2006;2.436;61.379999999999995;2.156425
37-2007;2.454;76.89200000000001;1.8412125
37-2008;2.444;97.28;2.1595166666666668
37-2009;2.466;69.17;1.80704
37-2010;2.526;78.438;1.71524
37-2011;2.7030000000000003;114.97999999999999;1.7349599999999998
37-2012;2.638;115.40799999999999;2.0311875
37-2013;2.76;113.218;2.2746500000000003
37-2014;2.919;97.32000000000001;2.4199166666666665
37-2015;3.227;47.596000000000004;3.6666800000000004
