DATA,SALARIO MINIMO DOLAR,grouper,Date,Price,GALOES_PETROLEO_POR_SALARIO
2013-11,294.7826086956522,2013-11,2013-11,107.792,2.734735497028093
2013-12,288.51063829787233,2013-12,2013-12,110.75666666666666,2.6049053928841515
2014-01,304.20168067226894,2014-01,2014-01,108.11772727272728,2.813615198411629
2014-02,304.20168067226894,2014-02,2014-02,108.90052631578948,2.793390362413361
2014-03,310.7296137339056,2014-03,2014-03,107.48095238095236,2.8910202863905092
2014-04,324.66367713004485,2014-04,2014-04,107.7552380952381,3.0129735024398068
2014-05,326.1261261261261,2014-05,2014-05,109.53909090909092,2.9772579215285426
2014-06,324.66367713004485,2014-06,2014-06,111.79523809523808,2.904092183724898
2014-07,326.1261261261261,2014-07,2014-07,106.76818181818182,3.054525426699636
2014-08,318.942731277533,2014-08,2014-08,101.60809523809525,3.1389500071836203
2014-09,310.7296137339056,2014-09,2014-09,97.09142857142858,3.200381519830114
2014-10,295.51020408163265,2014-10,2014-10,87.42521739130434,3.3801483473465774
2014-11,283.921568627451,2014-11,2014-11,79.4378947368421,3.574132592108744
2014-12,274.24242424242425,2014-12,2014-12,62.33500000000001,4.3994934505883405
2015-01,298.4848484848485,2015-01,2015-01,47.7595,6.249748185907484
2015-02,279.4326241134752,2015-02,2015-02,58.0955,4.8098841410001665
2015-03,250.95541401273886,2015-03,2015-03,55.88545454545454,4.490531857598541
2015-04,258.3606557377049,2015-04,2015-04,59.52428571428571,4.340424292999099
2015-05,257.51633986928107,2015-05,2015-05,64.075,4.018983064678596
2015-06,253.37620578778137,2015-06,2015-06,61.47772727272727,4.1214309153582525
2015-07,244.72049689440993,2015-07,2015-07,56.56130434782609,4.326641680493983
2015-08,224.5014245014245,2015-08,2015-08,46.515,4.826430710554112
2015-09,202.57069408740358,2015-09,2015-09,47.62318181818182,4.253615284690304
2015-10,203.09278350515464,2015-10,2015-10,48.43,4.193532593540257
2015-11,208.46560846560848,2015-11,2015-11,44.26761904761905,4.7092121272969365
2015-12,203.09278350515464,2015-12,2015-12,38.00545454545455,5.3437798846019735
2016-01,217.28395061728395,2016-01,2016-01,30.6995,7.077768387670286
2016-02,221.6624685138539,2016-02,2016-02,32.1815,6.887884918784205
2016-03,237.83783783783784,2016-03,2016-03,38.21045454545455,6.22441791564949
2016-04,247.19101123595505,2016-04,2016-04,41.583333333333336,5.944473216095111
2016-05,248.58757062146893,2016-05,2016-05,46.74238095238096,5.318247927394173
2016-06,256.55976676384836,2016-06,2016-06,48.24727272727273,5.317601436543435
2016-07,268.2926829268293,2016-07,2016-07,44.95190476190477,5.968438586704747
2016-08,274.14330218068534,2016-08,2016-08,45.84304347826088,5.98004149333336
2016-09,270.7692307692308,2016-09,2016-09,46.56772727272728,5.814525351075243
2016-10,275.86206896551727,2016-10,2016-10,49.52238095238096,5.5704524633170776
2016-11,263.4730538922156,2016-11,2016-11,44.73409090909091,5.889759879722343
2016-12,262.6865671641791,2016-12,2016-12,53.3085,4.9276675795450835
2017-01,292.8125,2017-01,2017-01,54.57666666666666,5.365159103401942
2017-02,302.258064516129,2017-02,2017-02,54.8695,5.508671748715206
2017-03,299.36102236421726,2017-03,2017-03,51.58913043478261,5.802792561945975
2017-04,298.4076433121019,2017-04,2017-04,52.30789473684211,5.704829926980868
2017-05,291.90031152647975,2017-05,2017-05,50.32652173913044,5.800128867231414
2017-06,284.8024316109422,2017-06,2017-06,46.36818181818182,6.142195368533211
2017-07,291.90031152647975,2017-07,2017-07,48.47857142857143,6.021223458627842
2017-08,297.46031746031747,2017-08,2017-08,51.70434782608696,5.753100657237892
2017-09,299.36102236421726,2017-09,2017-09,56.15285714285714,5.33118059518539
2017-10,293.73040752351096,2017-10,2017-10,57.50772727272727,5.107668507407891
2017-11,287.4233128834356,2017-11,2017-11,62.71409090909091,4.58307389482977
2017-12,283.93939393939394,2017-12,2017-12,64.3736842105263,4.410799186369459
2018-01,297.196261682243,2018-01,2018-01,69.07727272727273,4.302373992899484
2018-02,293.53846153846155,2018-02,2018-02,65.3175,4.494024748933464
2018-03,290.8536585365854,2018-03,2018-03,66.01666666666667,4.405761048269407
2018-04,279.76539589442814,2018-04,2018-04,72.10600000000001,3.879918396450061
2018-05,262.8099173553719,2018-05,2018-05,76.9752380952381,3.414213763524949
2018-06,252.3809523809524,2018-06,2018-06,74.4047619047619,3.392000000000001
2018-07,249.08616187989557,2018-07,2018-07,74.2540909090909,3.3545109613536463
2018-08,242.74809160305344,2018-08,2018-08,72.52826086956522,3.3469448831761106
2018-09,232.11678832116786,2018-09,2018-09,78.89099999999999,2.9422467495806606
2018-10,253.72340425531917,2018-10,2018-10,81.03217391304348,3.131143988899922
2018-11,252.3809523809524,2018-11,2018-11,64.74818181818182,3.8978847790608038
2018-12,245.24421593830334,2018-12,2018-12,57.36235294117647,4.275351399720207
2019-01,266.1333333333333,2019-01,2019-01,59.40954545454545,4.479639278454896
2019-02,268.2795698924731,2019-02,2019-02,63.9605,4.1944570460279875
2019-03,259.89583333333337,2019-03,2019-03,66.13857142857144,3.9295652706078865
2019-04,255.8974358974359,2019-04,2019-04,71.23333333333333,3.5923832835391094
2019-05,249.5,2019-05,2019-05,71.31772727272727,3.4984289256145678
2019-06,258.5492227979275,2019-06,2019-06,64.2205,4.025960912760372
2019-07,264.02116402116405,2019-07,2019-07,63.9191304347826,4.13054999693007
2019-08,248.2587064676617,2019-08,2019-08,59.041818181818186,4.204794400185198
2019-09,242.23300970873785,2019-09,2019-09,62.82666666666668,3.8555763429871255
2019-10,244.00977995110026,2019-10,2019-10,59.71304347826087,4.086373189802902
2019-11,240.48192771084337,2019-11,2019-11,63.21190476190476,3.804377175733708
2019-12,242.8223844282238,2019-12,2019-12,67.31,3.60752316785357
2020-01,252.41545893719808,2020-01,2020-01,63.82478260869566,3.9548189374139495
2020-02,240.78341013824885,2020-02,2020-02,55.702,4.322706727554645
2020-03,213.70143149284254,2020-03,2020-03,32.47,6.581503895683479
2020-04,196.79849340866292,2020-04,2020-04,18.3785,10.708082455513939
2020-05,185.28368794326244,2020-05,2020-05,29.378947368421056,6.306682319817244
2020-06,201.34874759152214,2020-06,2020-06,40.26681818181818,5.000363989088114
2020-07,197.91666666666666,2020-07,2020-07,43.24217391304348,4.57693609633644
2020-08,191.74311926605503,2020-08,2020-08,44.736,4.286103345539499
2020-09,193.5185185185185,2020-09,2020-09,40.90954545454545,4.730400114895843
2020-10,185.94306049822063,2020-10,2020-10,40.18954545454546,4.6266524887305085
2020-11,192.09558823529412,2020-11,2020-11,42.69238095238095,4.499528579808125
2020-12,202.9126213592233,2020-12,2020-12,49.99363636363637,4.058768997784183
2021-01,205.99250936329588,2021-01,2021-01,54.689375,3.766591030950635
2021-02,203.3271719038817,2021-02,,,
2021-03,195.03546099290782,2021-03,,,
2021-04,195.72953736654804,2021-04,,,
